Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
1,0.0001716,0.0003025,3.023,4.945,56.57
2,8.664e-05,0.0002115,1.988,2.64,53.74
3,6.905e-05,0.0001952,1.852,2.382,50.91
4,6.036e-05,0.0001842,1.783,1.903,15.56
5,5.595e-05,0.0001769,1.725,1.856,15.56
6,5.211e-05,0.0001803,1.7,1.752,12.73
7,4.904e-05,0.0001777,1.677,2.366,56.57
8,4.634e-05,0.0001771,1.658,1.846,15.56
9,4.435e-05,0.0001696,1.614,1.734,14.14
10,4.215e-05,0.0001746,1.651,1.731,11.31
11,4.042e-05,0.000172,1.601,1.671,12.73
12,3.841e-05,0.0001752,1.742,2.401,66.47
13,3.695e-05,0.000162,1.615,1.966,46.67
14,3.566e-05,0.000174,1.632,1.736,14.14
15,3.381e-05,0.0001651,1.603,1.774,28.28
16,3.266e-05,0.0001638,1.549,1.621,18.38
17,3.152e-05,0.0001662,1.614,1.768,14.14
18,2.493e-05,0.000169,1.566,1.734,19.8
19,2.367e-05,0.0001592,1.567,1.687,12.73
20,2.305e-05,0.0001512,1.499,1.502,8.485
21,2.268e-05,0.0001587,1.551,1.746,14.14
22,2.233e-05,0.0001545,1.597,1.772,14.14
23,2.197e-05,0.0001643,1.581,1.749,16.97
24,2.166e-05,0.0001746,1.563,1.696,11.31
25,2.11e-05,0.0001606,1.571,1.726,21.21
26,2.094e-05,0.0001584,1.527,1.684,15.56
27,2.09e-05,0.0001524,1.509,1.638,15.56
28,2.085e-05,0.000166,1.601,1.76,15.56
29,2.076e-05,0.0001741,1.662,1.933,19.8
30,2.08e-05,0.0001628,1.589,1.789,16.97
31,2.083e-05,0.0001685,1.572,1.768,15.56
32,2.074e-05,0.0001642,1.554,1.625,12.73
33,2.07e-05,0.0001625,1.541,1.567,14.14
34,2.07e-05,0.0001714,1.679,1.834,14.14
35,2.081e-05,0.0001607,1.568,1.69,12.73
36,2.071e-05,0.0001659,1.557,1.633,12.73
37,2.077e-05,0.0001621,1.571,1.658,14.14
38,2.076e-05,0.0001615,1.546,1.647,12.73
39,2.075e-05,0.0001588,1.443,1.633,14.14
40,2.065e-05,0.0001675,1.526,1.756,24.04
41,2.075e-05,0.0001648,1.541,1.671,12.73
42,2.075e-05,0.0001678,1.538,1.625,14.14
43,2.074e-05,0.0001693,1.586,1.792,14.14
44,2.073e-05,0.0001598,1.486,1.614,12.73
45,2.075e-05,0.0001725,1.584,2.333,65.05
46,2.076e-05,0.000172,1.59,1.697,12.73
47,2.076e-05,0.0001616,1.542,1.634,12.73
48,2.071e-05,0.0001601,1.517,1.661,14.14
49,2.075e-05,0.00016,1.535,1.71,15.56
50,2.078e-05,0.0001684,1.551,1.641,12.73
